WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
26	3000275	124583	3006062	24479	3011866	2915049	3000275	0.83336	3006062	0.99716	3011866	1.05851	3000275	149494.816165883	3006062	24548.7183601428	3011866	2753917.2988446	3016842	130562	3022630	25629	3028433	3022288	3016842	0.83393	3022630	0.99607	3028433	1.05844	3016842	156562.301392203	3022630	25730.1193691206	3028433	2855417.40674956	3033409	124130	3039197	25339	3045000	2985163	3033409	0.83352	3039197	0.99758	3045000	1.0575	3033409	148922.641328342	3039197	25400.4691353074	3045000	2822849.17257683
27	3120286	124673	3126073	23484	3131892	2903958	3120286	0.83392	3126073	0.99602	3131892	1.05797	3120286	149502.350345357	3126073	23577.8398024136	3131892	2744839.64573665	3136853	130728	3142641	24787	3148444	3008999	3136853	0.83413	3142641	0.99668	3148444	1.05875	3136853	156723.772073897	3142641	24869.5669623149	3148444	2842029.75206612	3153420	123655	3159208	24604	3165011	2977770	3153420	0.83374	3159208	0.9967	3165011	1.0579	3153420	148313.622951999	3159208	24685.4620246815	3165011	2814793.45873901
28	3240297	123827	3246084	22931	3251888	2896631	3240297	0.83432	3246084	0.99699	3251888	1.05776	3240297	148416.674657206	3246084	23000.2306943901	3251888	2738457.68416276	3256864	130705	3262652	23851	3268455	2999476	3256864	0.83396	3262652	0.99793	3268455	1.05802	3256864	156728.14043839	3262652	23900.473981141	3268455	2834989.88676963	3273431	124864	3279219	23741	3285006	2974643	3273431	0.83389	3279219	0.99781	3285006	1.05873	3273431	149736.775833743	3279219	23793.10690412	3285006	2809633.23982507
29	3360308	124038	3366095	22347	3371899	2894957	3360308	0.83403	3366095	0.99725	3371899	1.05886	3360308	148721.2690191	3366095	22408.6237152169	3371899	2734031.88334624	3376875	130167	3382663	23139	3388466	2999355	3376875	0.83436	3382663	0.99678	3388466	1.0586	3376875	156008.197900187	3382663	23213.7482694276	3388466	2833322.31248819	3393458	123964	3399245	23079	3405033	2966956	3393458	0.8345	3399245	0.99693	3405033	1.05821	3393458	148548.83163571	3399245	23150.0707171015	3405033	2803749.7283148
30	3480319	123299	3486106	21859	3491910	2887110	3480319	0.83407	3486106	0.99762	3491910	1.05856	3480319	147828.119941971	3486106	21911.1485335098	3491910	2727393.81801693	3496886	130412	3502674	22394	3508461	2996965	3496886	0.83428	3502674	0.99672	3508461	1.05861	3496886	156316.824087836	3502674	22467.6940364395	3508461	2831037.87041498	3513453	124096	3519241	23017	3525044	2961633	3513453	0.83418	3519241	0.99808	3525044	1.05852	3513453	148764.055719389	3519241	23061.2776530939	3525044	2797899.89797075
31	3600330	116335	3606117	21577	3611936	2776309	3600330	0.83454	3606117	0.99757	3611936	1.05869	3600330	139400.148584849	3606117	21629.5598303878	3611936	2622400.32492987	3616913	122451	3622700	23056	3628488	2888119	3616913	0.83477	3622700	0.99748	3628488	1.05957	3616913	146688.309354673	3622700	23114.2479047199	3628488	2725746.29330766	3633480	117051	3639252	22662	3645055	2856681	3633480	0.8341	3639252	0.99824	3645055	1.05934	3633480	140332.094473085	3639252	22701.9554415772	3645055	2696661.12862726
32	3720341	115205	3726128	23374	3731932	2753348	3720341	0.83474	3726128	0.99742	3731932	1.05898	3720341	138013.03399861	3726128	23434.4609091456	3731932	2600000	3736908	121882	3742696	24384	3748499	2861312	3736908	0.83456	3742696	0.99718	3748499	1.05882	3736908	146043.424079755	3742696	24452.9573396979	3748499	2702359.23008632	3753491	115331	3759263	24306	3765066	2842358	3753491	0.83461	3759263	0.99821	3765066	1.05951	3753491	138185.499814285	3759263	24349.5857585077	3765066	2682709.93194968
33	3840352	114369	3846139	25154	3851958	2691920	3840352	0.83487	3846139	0.99862	3851958	1.06064	3840352	136990.190089475	3846139	25188.7604894755	3851958	2538014.78352693	3856935	119598	3862707	26823	3868510	2804575	3856935	0.83589	3862707	0.99763	3868510	1.06024	3856935	143078.634748591	3862707	26886.7215300262	3868510	2645226.55247868	3873486	110997	3879274	26104	3885062	2778784	3873486	0.83513	3879274	0.99799	3885062	1.06068	3873486	132909.846371224	3879274	26156.5747151775	3885062	2619813.70441603
34	3960363	112573	3966150	27469	3971969	2580326	3960363	0.83504	3966150	0.99822	3971969	1.06017	3960363	134811.506035639	3966150	27517.9820079742	3971969	2433879.47216013	3976930	115836	3982718	28749	3988521	2691202	3976930	0.83515	3982718	0.99795	3988521	1.05988	3976930	138700.832185835	3982718	28808.0565158575	3988521	2539157.26308639	3993513	96881	3999301	28773	4005119	2670423	3993513	0.8351	3999301	0.99826	4005119	1.06088	3993513	116011.25613699	3999301	28823.1522849759	4005119	2517177.24907624
35	4080374	110285	4086161	30334	4091980	2424367	4080374	0.83506	4086161	0.99805	4091980	1.06024	4080374	132068.354369746	4086161	30393.2668703973	4091980	2286620.95374632	4096941	109771	4102729	32610	4108532	2537731	4096941	0.83497	4102729	0.99875	4108532	1.0607	4096941	131466.998814329	4102729	32650.8135168961	4108532	2392505.89233525	4113508	79063	4119296	32490	4125084	2530518	4113508	0.83491	4119296	0.99867	4125084	1.06082	4113508	94696.434346217	4119296	32533.2692481	4125084	2385435.79495108
36	4200385	107748	4206172	34027	4211976	2239471	4200385	0.83541	4206172	0.99895	4211976	1.06015	4200385	128976.191331203	4206172	34062.7659041994	4211976	2112409.56468424	4216952	101345	4222740	36792	4228543	2349351	4216952	0.83493	4222740	0.99868	4228543	1.06044	4216952	121381.433174039	4222740	36840.6296311131	4228543	2215449.24748218	4233519	64613	4239307	36741	4245095	2347454	4233519	0.83584	4239307	0.99872	4245095	1.06089	4233519	77303.0723583461	4239307	36788.0887536046	4245095	2212721.39430101
37	4320396	103920	4326183	38543	4332002	2038805	4320396	0.83546	4326183	0.99964	4332002	1.06073	4320396	124386.565484883	4326183	38556.8804769717	4332002	1922077.24868723	4336963	90928	4342751	41884	4348554	2147087	4336963	0.83602	4342751	0.99897	4348554	1.06043	4336963	108762.948254826	4342751	41927.1850005506	4348554	2024732.41986741	4353530	54670	4359318	42169	4365121	2155589	4353530	0.83555	4359318	0.9989	4365121	1.06039	4353530	65429.9563161989	4359318	42215.4369806788	4365121	2032826.6015334
38	4440407	99690	4446195	43589	4451998	1842940	4440407	0.8361	4446195	0.99872	4451998	1.06037	4440407	119232.149264442	4446195	43644.8654277475	4451998	1738015.9755557	4456974	82241	4462762	48370	4468565	1952995	4456974	0.83688	4462762	0.99879	4468565	1.06167	4456974	98270.95879935	4462762	48428.5986043112	4468565	1839549.95431725	4473541	47914	4479329	48073	4485117	1981775	4473541	0.8361	4479329	1.00065	4485117	1.06193	4473541	57306.5422796316	4479329	48041.772847649	4485117	1866201.16203516
