WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
230	27482521	4180	27488309	16894	27494127	648156	27482521	0.8744	27488309	1.08462	27494127	1.22024	27482521	4780.4208600183	27488309	15575.9620881046	27494127	531170.917196617	27499088	94130	27504876	2255632	27510679	1275485	27499088	0.87484	27504876	1.08503	27510679	1.21964	27499088	107596.817703809	27504876	2078866.02213764	27510679	1045788.10140697	27515655	26775	27521427	180461	27527231	3864336	27515655	0.87373	27521427	1.08446	27527231	1.22004	27515655	30644.4782713195	27521427	166406.322040463	27527231	3167384.67591227	27532191	87417	27537979	2338324	27543813	4223198	27532191	0.87409	27537979	1.08417	27543813	1.21953	27532191	100009.152375613	27537979	2156787.21971647	27543813	3462971.80061171
231	27602532	4075	27608320	17124	27614138	649972	27602532	0.87391	27608320	1.08508	27614138	1.22026	27602532	4662.95156251788	27608320	15781.3248792716	27614138	532650.418763214	27619099	94036	27624887	2247994	27630690	1274322	27619099	0.8739	27624887	1.08411	27630690	1.22011	27619099	107604.989129191	27624887	2073584.7838319	27630690	1044432.05940448	27635666	26868	27641454	180909	27647242	3857499	27635666	0.87502	27641454	1.08522	27647242	1.21954	27635666	30705.5838723686	27641454	166702.604080279	27647242	3163077.06184299	27652218	87651	27658006	2341818	27663809	4224495	27652218	0.87368	27658006	1.0854	27663809	1.21992	27652218	100323.917223697	27658006	2157562.18905473	27663809	3462927.89691127
232	27722543	4163	27728331	16867	27734134	649914	27722543	0.87402	27728331	1.08408	27734134	1.21965	27722543	4763.04890048283	27728331	15558.8148476127	27734134	532869.265772968	27739110	94241	27744898	2247834	27750701	1274783	27739110	0.87354	27744898	1.08428	27750701	1.21958	27739110	107884.012180324	27744898	2073112.11126277	27750701	1045263.94332475	27755677	26759	27761465	179711	27767268	3852892	27755677	0.87408	27761465	1.08475	27767268	1.22013	27755677	30613.9026176094	27761465	165670.430974879	27767268	3157771.71285027	27772245	87566	27778032	2339750	27783835	4220315	27772245	0.87473	27778032	1.08475	27783835	1.21957	27772245	100106.318521144	27778032	2156948.60566951	27783835	3460494.27257148
233	27842554	4063	27848342	17034	27854145	648696	27842554	0.87409	27848342	1.08493	27854145	1.22056	27842554	4648.26276470386	27848342	15700.5521093527	27854145	531474.077472636	27859121	93463	27864893	2249849	27870696	1275569	27859121	0.87438	27864893	1.08544	27870696	1.22045	27859121	106890.596765708	27864893	2072752.98496462	27870696	1045162.84976853	27875688	26739	27881476	179676	27887264	3844474	27875688	0.87415	27881476	1.0849	27887264	1.2187	27875688	30588.5717554196	27881476	165615.264079639	27887264	3154569.62336916	27892240	87342	27898043	2334622	27903847	4216394	27892240	0.87428	27898043	1.08479	27903847	1.21961	27892240	99901.6333440088	27898043	2152141.88921358	27903847	3457165.81530161
234	27962565	4098	27968353	17108	27974171	648596	27962565	0.87456	27968353	1.08546	27974171	1.2203	27962565	4685.7848518112	27968353	15761.05982717	27974171	531505.367532574	27979132	94048	27984920	2252572	27990707	1274045	27979132	0.87388	27984920	1.08483	27990707	1.21976	27979132	107621.183686547	27984920	2076428.56484426	27990707	1044504.65665377	27995684	27045	28001471	179664	28007275	3840841	27995684	0.87408	28001471	1.08427	28007275	1.21951	27995684	30941.1037891269	28001471	165700.425170852	28007275	3149495.28909152	28012251	86954	28018039	2335418	28023858	4212992	28012251	0.87433	28018039	1.0849	28023858	1.21934	28012251	99452.1519334805	28018039	2152657.38777768	28023858	3455141.3059524
235	28082576	4054	28088364	17008	28094182	650709	28082576	0.87407	28088364	1.08496	28094182	1.22046	28082576	4638.072465592	28088364	15676.153959593	28094182	533167.002605575	28099143	93648	28104915	2247217	28110718	1275524	28099143	0.87355	28104915	1.0843	28110718	1.22007	28099143	107203.937954324	28104915	2072504.84183344	28110718	1045451.49048825	28115710	27075	28121482	179639	28127286	3838282	28115710	0.87393	28121482	1.08453	28127286	1.21977	28115710	30980.7421647043	28121482	165637.649488719	28127286	3146726.02211892	28132262	87463	28138065	2338393	28143869	4212224	28132262	0.8735	28138065	1.08428	28143869	1.22055	28132262	100129.364625072	28138065	2156632.0507618	28143869	3451086.80512884
236	28202587	4174	28208359	16956	28214162	650197	28202587	0.87377	28208359	1.08437	28214162	1.21952	28202587	4777.00081257081	28208359	15636.7291607108	28214162	533158.127787982	28219139	94624	28224926	2249468	28230729	1275688	28219139	0.87428	28224926	1.0833	28230729	1.22016	28219139	108230.772750149	28224926	2076495.8921813	28230729	1045508.78573302	28235706	26773	28241494	178408	28247297	3837117	28235706	0.87356	28241494	1.08457	28247297	1.21938	28235706	30648.1523879299	28241494	164496.528578146	28247297	3146777.05063229	28252273	86708	28258061	2332146	28263880	4212992	28252273	0.87406	28258061	1.08387	28263880	1.22019	28252273	99201.4278196005	28258061	2151684.24257522	28263880	3452734.4102148
237	28322598	4101	28328386	16995	28334189	649559	28322598	0.87414	28328386	1.08591	28334189	1.22166	28322598	4691.46818587412	28328386	15650.4682708512	28334189	531701.946531768	28339165	94044	28344953	2256206	28350756	1274733	28339165	0.8743	28344953	1.08484	28350756	1.22059	28339165	107564.909070113	28344953	2079759.22716714	28350756	1044358.0563498	28355733	26874	28361520	178087	28367323	3836840	28355733	0.87395	28361520	1.08389	28367323	1.22046	28355733	30750.0429086332	28361520	164303.573240827	28367323	3143765.46548023	28372300	87176	28378087	2335172	28383891	4208372	28372300	0.87441	28378087	1.08357	28383891	1.22024	28372300	99696.9385071077	28378087	2155072.58414316	28383891	3448806.79210647
238	28442609	4001	28448397	16818	28454184	648845	28442609	0.87375	28448397	1.08493	28454184	1.22037	28442609	4579.113018598	28448397	15501.4609237462	28454184	531678.917049747	28459161	94419	28464948	2247325	28470736	1275962	28459161	0.87442	28464948	1.08452	28470736	1.22008	28459161	107979.003224995	28464948	2072184.0076716	28470736	1045801.91462855	28475728	26632	28481516	177034	28487319	3834407	28475728	0.87404	28481516	1.08322	28487319	1.22013	28475728	30470.0013729349	28481516	163433.097616366	28487319	3142621.68785293	28492295	87081	28498083	2332463	28503902	4208283	28492295	0.87396	28498083	1.08411	28503902	1.22001	28492295	99639.5716051078	28498083	2151500.30900923	28503902	3449384.02144245
239	28562620	4122	28568392	16941	28574195	649034	28562620	0.87327	28568392	1.0846	28574195	1.22006	28562620	4720.18963207255	28568392	15619.5832565001	28574195	531968.919561333	28579172	94503	28584944	2253834	28590747	1277830	28579172	0.87373	28584944	1.08504	28590747	1.22101	28579172	108160.415689057	28584944	2077189.7810219	28590747	1046535.24541159	28595739	26588	28601527	177077	28607330	3828971	28595739	0.87438	28601527	1.0845	28607330	1.21991	28595739	30407.8318351289	28601527	163279.852466574	28607330	3138732.36550237	28612306	87339	28618094	2334904	28623913	4199428	28612306	0.87368	28618094	1.08429	28623913	1.21939	28612306	99966.8070689497	28618094	2153394.38711046	28623913	3443876.03637885
240	28682631	4083	28688419	16918	28694206	647067	28682631	0.87389	28688419	1.08405	28694206	1.21961	28682631	4672.21274988843	28688419	15606.2912227296	28694206	530552.389698346	28699183	94537	28704970	2251195	28710758	1278374	28699183	0.87328	28704970	1.08414	28710758	1.21902	28699183	108255.084279956	28704970	2076479.97491099	28710758	1048689.93125626	28715750	27134	28721538	177203	28727341	3827316	28715750	0.87362	28721538	1.0847	28727341	1.21996	28715750	31059.2706210938	28721538	163365.907624228	28727341	3137247.12285649	28732302	87509	28738074	2332536	28743877	4196336	28732302	0.87405	28738074	1.08471	28743877	1.21948	28732302	100118.986328013	28738074	2150377.52025887	28743877	3441086.36468003
241	28802642	4025	28808414	16876	28814217	648872	28802642	0.8737	28808414	1.08461	28814217	1.21956	28802642	4606.84445461829	28808414	15559.5098699072	28814217	532054.183476008	28819194	94308	28824981	2254045	28830785	1277499	28819194	0.87399	28824981	1.084	28830785	1.22016	28819194	107905.124772595	28824981	2079377.30627306	28830785	1046993.01730921	28835777	26768	28841564	177381	28847367	3817677	28835777	0.87372	28841564	1.08488	28847367	1.21989	28835777	30636.8172870027	28841564	163502.875894108	28847367	3129525.6129651	28852328	87666	28858147	2332437	28863950	4197013	28852328	0.87376	28858147	1.08391	28863950	1.21982	28852328	100331.898919612	28858147	2151873.31051471	28863950	3440682.23180469
242	28922653	4053	28928441	16948	28934244	647939	28922653	0.87365	28928441	1.08407	28934244	1.21984	28922653	4639.15755737423	28928441	15633.6767920891	28934244	531167.202256034	28939220	94838	28945008	2252596	28950811	1277609	28939220	0.87374	28945008	1.08479	28950811	1.22041	28939220	108542.587039623	28945008	2076527.25412292	28950811	1046868.67528126	28955788	26850	28961575	176386	28967378	3814451	28955788	0.87402	28961575	1.08402	28967378	1.2199	28955788	30720.1208210338	28961575	162714.7100607	28967378	3126855.47995737	28972355	87632	28978142	2337430	28983961	4199164	28972355	0.87341	28978142	1.08452	28983961	1.22028	28972355	100333.17685852	28978142	2155266.84616236	28983961	3441147.93326122
243	29042664	3978	29048452	17106	29054255	649097	29042664	0.87401	29048452	1.08462	29054255	1.22004	29042664	4551.43533826844	29048452	15771.422249267	29054255	532029.277728599	29059231	94377	29065019	2247750	29070822	1275591	29059231	0.87396	29065019	1.08519	29070822	1.22036	29059231	107987.779761087	29065019	2071296.27069914	29070822	1045257.95666852	29075799	26614	29081586	175927	29087374	3812269	29075799	0.87407	29081586	1.08458	29087374	1.22072	29075799	30448.3622593156	29081586	162207.490457135	29087374	3122967.592896	29092366	87609	29098153	2336111	29103957	4198669	29092366	0.87361	29098153	1.08513	29103957	1.22026	29092366	100283.879534346	29098153	2152839.75191913	29103957	3440798.68224805
244	29162675	4189	29168463	16925	29174266	646600	29162675	0.87393	29168463	1.08385	29174266	1.21993	29162675	4793.29008044123	29168463	15615.6294690225	29174266	530030.411580992	29179242	94767	29185014	2252759	29190818	1279149	29179242	0.87377	29185014	1.08531	29190818	1.22031	29179242	108457.603259439	29185014	2075682.52388718	29190818	1048216.43680704	29195794	27205	29201582	176165	29207385	3810129	29195794	0.87456	29201582	1.08539	29207385	1.22072	29195794	31107.0709842664	29201582	162305.714996453	29207385	3121214.52913035	29212361	87508	29218149	2335620	29223968	4190678	29212361	0.87371	29218149	1.08469	29223968	1.22019	29212361	100156.802600405	29218149	2153260.37854133	29223968	3434447.09430499
245	29282686	4047	29288474	17283	29294293	648008	29282686	0.87447	29288474	1.08436	29294293	1.21985	29282686	4627.94607019109	29288474	15938.4337304954	29294293	531219.412222814	29299253	93828	29305041	2248813	29310844	1278564	29299253	0.87369	29305041	1.08474	29310844	1.22	29299253	107392.782336985	29305041	2073135.49790733	29310844	1048003.27868852	29315821	26699	29321608	176089	29327396	3800016	29315821	0.87393	29321608	1.08452	29327396	1.22008	29315821	30550.5017564336	29321608	162365.839265297	29327396	3114562.97947676	29332372	87002	29338160	2331931	29343963	4191329	29332372	0.874	29338160	1.08463	29343963	1.21987	29332372	99544.6224256293	29338160	2149978.33362529	29343963	3435881.69231148
246	29402697	4131	29408485	17093	29414288	650103	29402697	0.87422	29408485	1.08532	29414288	1.22126	29402697	4725.35517375489	29408485	15749.2721040799	29414288	532321.536773496	29419264	94317	29425036	2248358	29430840	1278823	29419264	0.87374	29425036	1.08482	29430840	1.2207	29419264	107946.29981459	29425036	2072563.19020667	29430840	1047614.48349308	29435832	26638	29441619	174330	29447407	3796634	29435832	0.87444	29441619	1.08409	29447407	1.21934	29435832	30462.9248433283	29441619	160807.682019021	29447407	3113679.53154986	29452383	86893	29458171	2332857	29463974	4187873	29452383	0.87371	29458171	1.08477	29463974	1.21963	29452383	99452.9077153747	29458171	2150554.49542299	29463974	3433724.16224593
247	29522708	4069	29528496	17178	29534283	647953	29522708	0.87434	29528496	1.08472	29534283	1.22023	29522708	4653.79600613034	29528496	15836.3448631905	29534283	531008.908156659	29539260	94528	29545047	2250286	29550835	1279274	29539260	0.87363	29545047	1.08516	29550835	1.22081	29539260	108201.412497281	29545047	2073690.51568432	29550835	1047889.5159771	29555796	26978	29561583	175219	29567387	3794347	29555796	0.87405	29561583	1.08461	29567387	1.21977	29555796	30865.5111263658	29561583	161550.234646555	29567387	3110706.93655361	29572363	87130	29578151	2333746	29583954	4185853	29572363	0.8739	29578151	1.08482	29583954	1.21954	29572363	99702.4831216386	29578151	2151274.86587637	29583954	3432321.20307657
248	29642719	4055	29648507	16821	29654326	649084	29642719	0.87405	29648507	1.08438	29654326	1.22084	29642719	4639.32269320977	29648507	15512.0898577989	29654326	531669.997706497	29659302	94331	29665090	2252450	29670893	1279918	29659302	0.87326	29665090	1.08399	29670893	1.21959	29659302	108021.665941415	29665090	2077925.07310953	29670893	1049465.8040817	29675869	26811	29681641	175055	29687444	3792875	29675869	0.87377	29681641	1.08402	29687444	1.22032	29675869	30684.2761825194	29681641	161486.872935924	29687444	3108098.69542415	29692421	86922	29698193	2334680	29704012	4184151	29692421	0.87408	29698193	1.08457	29704012	1.2209	29692421	99443.9868204284	29698193	2152631.91864057	29704012	3427103.77590302
249	29762730	4147	29768518	16865	29774321	646580	29762730	0.87414	29768518	1.08474	29774321	1.21997	29762730	4744.09133548402	29768518	15547.5044711175	29774321	529996.639261621	29779297	95085	29785069	2253785	29790873	1283411	29779297	0.8737	29785069	1.08501	29790873	1.22055	29779297	108830.262103697	29785069	2077202.0534373	29790873	1051502.19163492	29795865	27223	29801652	174679	29807440	3796006	29795865	0.87461	29801652	1.084	29807440	1.22024	29795865	31125.8732463612	29801652	161142.988929889	29807440	3110868.35376647	29812416	87680	29818219	2328920	29824023	4180938	29812416	0.87342	29818219	1.08443	29824023	1.21968	29812416	100386.984497722	29818219	2147598.27743607	29824023	3427897.48130657
250	29882741	4105	29888513	16924	29894332	647234	29882741	0.87443	29888513	1.08496	29894332	1.22103	29882741	4694.48669418936	29888513	15598.7317504793	29894332	530072.152199373	29899308	94568	29905096	2258391	29910899	1282954	29899308	0.87423	29905096	1.08414	29910899	1.22004	29899308	108172.906443384	29905096	2083117.49405058	29910899	1051567.1617324	29915876	27164	29921663	174573	29927466	3789528	29915876	0.87417	29921663	1.08452	29927466	1.21955	29915876	31074.0473820882	29921663	160967.985837052	29927466	3107316.63318437	29932427	87137	29938230	2330783	29944049	4177225	29932427	0.87395	29938230	1.08542	29944049	1.22071	29932427	99704.788603467	29938230	2147355.86224687	29944049	3421963.44750186
251	30002752	3975	30008540	17098	30014359	647321	30002752	0.87389	30008540	1.0856	30014359	1.22121	30002752	4548.62740161805	30008540	15749.8157700811	30014359	530065.263140656	30019335	94522	30025107	2260860	30030910	1282018	30019335	0.87409	30025107	1.08545	30030910	1.2209	30019335	108137.605967349	30025107	2082878.06900364	30030910	1050059.79195675	30035887	27002	30041674	173920	30047477	3782676	30035887	0.8745	30041674	1.08408	30047477	1.22029	30035887	30877.0726129217	30041674	160430.964504465	30047477	3099817.25655377	30052454	87165	30058241	2328160	30064045	4182947	30052454	0.87356	30058241	1.085	30064045	1.22198	30052454	99781.3544576217	30058241	2145769.58525346	30064045	3423089.57593414
252	30122763	4193	30128551	16798	30134338	645227	30122763	0.87499	30128551	1.08424	30134338	1.22076	30122763	4792.05476634019	30128551	15492.8798052092	30134338	528545.332415872	30139315	94544	30145102	2253537	30150906	1281056	30139315	0.87404	30145102	1.08447	30150906	1.22032	30139315	108168.962518878	30145102	2078007.69039254	30150906	1049770.55198636	30155898	27255	30161685	173942	30167488	3781626	30155898	0.87422	30161685	1.085	30167488	1.22104	30155898	31176.3629292398	30161685	160315.207373272	30167488	3097053.33158619	30172449	87997	30178253	2328122	30184056	4174395	30172449	0.87463	30178253	1.08601	30184056	1.22078	30172449	100610.543887129	30178253	2143739.0079281	30184056	3419449.04077721
253	30242774	4145	30248562	17009	30254365	647418	30242774	0.87344	30248562	1.08442	30254365	1.21975	30242774	4745.60359040117	30248562	15684.8822411981	30254365	530779.258044681	30259357	95188	30265129	2253962	30270932	1282728	30259357	0.8732	30265129	1.08465	30270932	1.22061	30259357	109010.535959689	30265129	2078054.67201401	30270932	1050890.94796864	30275909	26895	30281696	173785	30287484	3781616	30275909	0.87334	30281696	1.08449	30287484	1.22148	30275909	30795.5664460577	30281696	160245.829837066	30287484	3095929.52811344	30292476	86538	30298264	2332831	30304082	4170755	30292476	0.87387	30298264	1.08387	30304082	1.2206	30292476	99028.4596106972	30298264	2152316.23718712	30304082	3416971.16172374
254	30362785	4097	30368573	16856	30374376	648758	30362785	0.87438	30368573	1.08453	30374376	1.22096	30362785	4685.60580068163	30368573	15542.2164439896	30374376	531350.740400996	30379352	95068	30385140	2250016	30390943	1281337	30379352	0.87424	30385140	1.08469	30390943	1.21934	30379352	108743.59443631	30385140	2074340.13404752	30390943	1050844.71927436	30395920	27109	30401692	173142	30407495	3775116	30395920	0.87416	30401692	1.08467	30407495	1.22064	30395920	31011.4853116134	30401692	159626.430158481	30407495	3092734.95871019	30412471	87489	30418259	2329232	30424062	4170030	30412471	0.87406	30418259	1.08498	30424062	1.22124	30412471	100094.959156122	30418259	2146797.17598481	30424062	3414586.81340277
255	30482796	3998	30488584	16955	30494387	647727	30482796	0.87436	30488584	1.0845	30494387	1.22122	30482796	4572.48730500023	30488584	15633.9326878746	30494387	530393.377114689	30499363	94933	30505151	2255633	30510954	1282595	30499363	0.87395	30505151	1.08451	30510954	1.22069	30499363	108625.207391727	30505151	2079863.7172548	30510954	1050713.12126748	30515931	26994	30521718	173591	30527522	3765217	30515931	0.8743	30521718	1.0843	30527522	1.22096	30515931	30874.985702848	30521718	160094.992160841	30527522	3083816.83265627	30532514	87466	30538301	2330502	30544104	4168516	30532514	0.87392	30538301	1.08494	30544104	1.22071	30532514	100084.675942878	30538301	2148046.89660258	30544104	3414829.07488265
256	30602807	4128	30608626	16874	30614414	647321	30602807	0.8736	30608626	1.08462	30614414	1.21986	30602807	4725.27472527473	30608626	15557.5224502591	30614414	530651.87808437	30619390	95024	30625178	2251203	30630981	1280565	30619390	0.87429	30625178	1.08429	30630981	1.21973	30619390	108687.048919695	30625178	2076200.09407077	30630981	1049875.79218352	30635957	26870	30641745	171351	30647533	3757343	30635957	0.87329	30641745	1.08478	30647533	1.21983	30635957	30768.7022638528	30641745	157959.217537196	30647533	3080218.55504456	30652509	87661	30658297	2332623	30664100	4162413	30652509	0.87403	30658297	1.08474	30664100	1.22032	30652509	100295.184375822	30658297	2150398.25211571	30664100	3410919.26707749
257	30722818	4097	30728590	17089	30734393	648677	30722818	0.87404	30728590	1.08408	30734393	1.22064	30722818	4687.42849297515	30728590	15763.5967825253	30734393	531423.679381308	30739354	94998	30745142	2250548	30750945	1283481	30739354	0.87396	30745142	1.08491	30750945	1.22073	30739354	108698.338596732	30745142	2074409.8588823	30750945	1051404.4874788	30755922	26717	30761725	172499	30767528	3753525	30755922	0.87443	30761725	1.08392	30767528	1.22002	30755922	30553.6177853001	30761725	159143.663739021	30767528	3076609.3998459	30772504	87638	30778292	2327003	30784111	4163398	30772504	0.87434	30778292	1.08477	30784111	1.22065	30772504	100233.318846215	30778292	2145157.95975184	30784111	3410804.07979355
258	30842829	4023	30848617	16964	30854436	647107	30842829	0.8744	30848617	1.08422	30854436	1.22036	30842829	4600.86916742909	30848617	15646.2710520005	30854436	530259.103870989	30859412	94284	30865215	2252724	30871019	1283729	30859412	0.8738	30865215	1.08441	30871019	1.22069	30859412	107901.121538109	30865215	2077372.94934573	30871019	1051642.1040559	30875995	26958	30881783	171746	30887586	3753304	30875995	0.87439	30881783	1.08458	30887586	1.22089	30875995	30830.6362149613	30881783	158352.541997824	30887586	3074236.00815798	30892562	87570	30898350	2326958	30904153	4157743	30892562	0.87459	30898350	1.08495	30904153	1.22057	30892562	100126.916612356	30898350	2144760.58804553	30904153	3406394.55336441
259	30962840	4020	30968612	16716	30974416	646499	30962840	0.87491	30968612	1.08643	30974416	1.22212	30962840	4594.75831799842	30968612	15386.1730622313	30974416	528997.970739371	30979392	95154	30985180	2255961	30990998	1287572	30979392	0.87526	30985180	1.08638	30990998	1.2225	30979392	108715.124648676	30985180	2076585.54097093	30990998	1053228.62985685	30995975	26803	31001762	172836	31007566	3761612	30995975	0.87527	31001762	1.0861	31007566	1.2221	30995975	30622.5507557668	31001762	159134.518000184	31007566	3077990.344489	31012542	87020	31018330	2328795	31024133	4155867	31012542	0.87471	31018330	1.08592	31024133	1.22113	31012542	99484.4005441804	31018330	2144536.42993959	31024133	3403296.12735745
260	31082851	4062	31088639	16847	31094442	646857	31082851	0.87548	31088639	1.08663	31094442	1.22168	31082851	4639.74048521954	31088639	15503.8973707702	31094442	529481.533625827	31099419	95020	31105206	2256955	31110994	1288423	31099419	0.87482	31105206	1.08644	31110994	1.22249	31099419	108616.629706683	31105206	2077385.77371967	31110994	1053933.3655081	31115986	26975	31121758	172268	31127561	3750303	31115986	0.87434	31121758	1.08579	31127561	1.22132	31115986	30851.8425326532	31121758	158656.830510504	31127561	3070696.45956834	31132537	86716	31138325	2327015	31144128	4155232	31132537	0.8749	31138325	1.08484	31144128	1.22128	31132537	99115.3274659961	31138325	2145030.60359131	31144128	3402358.18157998
261	31202862	4120	31208650	16896	31214453	646322	31202862	0.87468	31208650	1.08542	31214453	1.22131	31202862	4710.29405039557	31208650	15566.3245563929	31214453	529203.887628858	31219414	95057	31225202	2258000	31231005	1288582	31219414	0.87453	31225202	1.08547	31231005	1.22125	31219414	108694.956147874	31225202	2080204.88820511	31231005	1055133.67451382	31235981	27051	31241769	171154	31247572	3746325	31235981	0.87491	31241769	1.08532	31247572	1.22107	31235981	30918.6087711879	31241769	157699.1117827	31247572	3068067.35076613	31252548	87025	31258320	2324163	31264124	4151796	31252548	0.87469	31258320	1.08561	31264124	1.22117	31252548	99492.3915901634	31258320	2140882.08472656	31264124	3399850.96260144
262	31322873	4059	31328661	16991	31334464	646234	31322873	0.87381	31328661	1.08639	31334464	1.2212	31322873	4645.17458028633	31328661	15639.8715010263	31334464	529179.49557812	31339441	95179	31345228	2256913	31351016	1286196	31339441	0.87509	31345228	1.08554	31351016	1.22133	31339441	108764.812762116	31345228	2079069.40324631	31351016	1053110.95281374	31356008	27176	31361780	171150	31367583	3743308	31356008	0.875	31361780	1.08492	31367583	1.22113	31356008	31058.2857142857	31361780	157753.567083287	31367583	3065445.93941677	31372559	87250	31378363	2328620	31384166	4148354	31372559	0.8741	31378363	1.08489	31384166	1.22101	31372559	99816.9545818556	31378363	2146411.15689148	31384166	3397477.49813679
263	31442884	4163	31448672	17037	31454475	648265	31442884	0.87418	31448672	1.08448	31454475	1.22082	31442884	4762.17712599236	31448672	15709.8332841546	31454475	531007.847184679	31459452	95777	31465239	2254408	31471027	1287947	31459452	0.87439	31465239	1.08467	31471027	1.22189	31459452	109535.790665493	31465239	2078427.54017351	31471027	1054061.33121639	31476003	26780	31481791	170815	31487594	3737855	31476003	0.87433	31481791	1.08514	31487594	1.22098	31476003	30629.1674768108	31481791	157412.868385646	31487594	3061356.45137513	31492570	87009	31498358	2328369	31504177	4145661	31492570	0.87399	31498358	1.08577	31504177	1.22123	31492570	99553.770638108	31498358	2144440.35108725	31504177	3394660.30149931
264	31562895	4050	31568683	17024	31574486	648518	31562895	0.87449	31568683	1.0852	31574486	1.22108	31562895	4631.27079783645	31568683	15687.4308883155	31574486	531101.975300554	31579463	95243	31585250	2255235	31591053	1289537	31579463	0.87459	31585250	1.0857	31591053	1.2221	31579463	108900.170365543	31585250	2077217.46338768	31591053	1055181.24539727	31596030	26869	31601817	170265	31607621	3732889	31596030	0.87434	31601817	1.08492	31607621	1.22171	31596030	30730.6082302079	31601817	156937.838734653	31607621	3055462.42561655	31612597	87333	31618369	2330172	31624188	4151721	31612597	0.87502	31618369	1.08604	31624188	1.22211	31612597	99806.8615574501	31618369	2145567.38241685	31624188	3397174.55875494
265	31682906	4087	31688694	16595	31694497	647703	31682906	0.87395	31688694	1.08432	31694497	1.22123	31682906	4676.4689055438	31688694	15304.5226501402	31694497	530369.381688953	31699474	95450	31705246	2253061	31711049	1289108	31699474	0.87488	31705246	1.08513	31711049	1.22171	31699474	109100.676664228	31705246	2076305.14316257	31711049	1055166.93814408	31716041	26747	31721828	171053	31727632	3728136	31716041	0.87442	31721828	1.08543	31727632	1.22164	31716041	30588.2756570069	31721828	157590.079507661	31727632	3051746.8321273	31732608	87385	31738396	2329831	31744199	4147368	31732608	0.87444	31738396	1.08545	31744199	1.22117	31732608	99932.5282466493	31738396	2146419.45736791	31744199	3396224.93182767
266	31802917	4076	31808705	16988	31814508	646584	31802917	0.87487	31808705	1.0851	31814508	1.2205	31802917	4658.97790528879	31808705	15655.6999354898	31814508	529769.766489144	31819485	94894	31825272	2253713	31831060	1289645	31819485	0.87413	31825272	1.08504	31831060	1.22166	31819485	108558.223605185	31825272	2077078.26439578	31831060	1055649.68976638	31836036	27230	31841824	170273	31847627	3722145	31836036	0.8739	31841824	1.08574	31847627	1.22199	31836036	31159.1715299233	31841824	156826.680420727	31847627	3045970.09795498	31852603	87764	31858391	2328720	31864194	4140332	31852603	0.87472	31858391	1.08584	31864194	1.22159	31852603	100333.821108469	31858391	2144625.35916894	31864194	3389297.55482609
267	31922928	3926	31928700	16969	31934519	647518	31922928	0.87563	31928700	1.0856	31934519	1.22157	31922928	4483.62893002752	31928700	15630.9874723655	31934519	530070.31934314	31939480	94648	31945268	2251277	31951071	1287439	31939480	0.87477	31945268	1.08476	31951071	1.22155	31939480	108197.58336477	31945268	2075368.74516022	31951071	1053938.84818468	31956047	27042	31961835	169944	31967638	3722446	31956047	0.87422	31961835	1.08497	31967638	1.22071	31956047	30932.7171650157	31961835	156634.74566117	31967638	3049410.58891956	31972614	87095	31978402	2321702	31984205	4136931	31972614	0.87462	31978402	1.08467	31984205	1.22111	31972614	99580.3891975944	31978402	2140468.52959886	31984205	3387844.66591871
268	32042939	4014	32048727	17023	32054530	647141	32042939	0.87448	32048727	1.08505	32054530	1.22053	32042939	4590.15643582472	32048727	15688.6779411087	32054530	530213.104143282	32059507	94973	32065294	2244422	32071097	1290027	32059507	0.87447	32065294	1.08511	32071097	1.2217	32059507	108606.355849829	32065294	2068382.00735409	32071097	1055927.8055169	32076074	26839	32081861	169752	32087665	3713743	32076074	0.87436	32081861	1.08493	32087665	1.22077	32076074	30695.5944919713	32081861	156463.55064382	32087665	3042131.60546213	32092641	86703	32098429	2324753	32104247	4137651	32092641	0.87415	32098429	1.08467	32104247	1.22052	32092641	99185.4944803523	32098429	2143281.36668295	32104247	3390072.2642808
