WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
235	28082592	15030	28088379	245567	28094198	1689852	28082592	0.85045	28088379	1.03782	28094198	1.1072	28082592	17672.996648833	28088379	236618.103331984	28094198	1526239.16184971	28099174	17418	28104962	610748	28110750	1067119	28099174	0.85028	28104962	1.03949	28110750	1.10848	28099174	20485.0167003811	28104962	587545.815736563	28110750	962686.742205543	28115742	15630	28121514	1133629	28127317	2090266	28115742	0.85058	28121514	1.0388	28127317	1.10858	28115742	18375.6965835077	28121514	1091287.06199461	28127317	1885534.64792798	28132293	18817	28138065	500562	28143869	1117182	28132293	0.85045	28138065	1.03906	28143869	1.10806	28132293	22125.9333294138	28138065	481745.038785056	28143869	1008232.40618739
236	28202603	15062	28208390	246528	28214209	1696853	28202603	0.8506	28208390	1.03889	28214209	1.108	28202603	17707.5005878204	28208390	237299.425348208	28214209	1531455.77617328	28219185	17523	28224957	611367	28230761	1069085	28219185	0.85073	28224957	1.03848	28230761	1.10756	28219185	20597.60441033	28224957	588713.311763346	28230761	965261.475676261	28235737	15606	28241525	1131865	28247328	2080592	28235737	0.85062	28241525	1.03821	28247328	1.10823	28235737	18346.6177611624	28241525	1090208.14671406	28247328	1877400.90053509	28252304	18757	28258108	500462	28263911	1111576	28252304	0.84978	28258108	1.03809	28263911	1.10702	28252304	22072.7717762244	28258108	482098.854627248	28263911	1004115.55346787
237	28322614	15013	28328401	245256	28334204	1696695	28322614	0.85074	28328401	1.03827	28334204	1.10684	28322614	17646.9896795731	28328401	236216.013175764	28334204	1532918.03693397	28339181	17415	28344968	609131	28350772	1070654	28339181	0.8503	28344968	1.03809	28350772	1.10754	28339181	20481.0067035164	28344968	586780.529626526	28350772	966695.559528324	28355748	15654	28361536	1128425	28367355	2069292	28355748	0.85007	28361536	1.03813	28367355	1.1079	28355748	18414.9540626066	28361536	1086978.50943523	28367355	1867760.62821554	28372331	18876	28378119	500394	28383922	1109601	28372331	0.8501	28378119	1.03811	28383922	1.10765	28372331	22204.4465357017	28378119	482024.062960573	28383922	1001761.38671963
238	28442625	14956	28448412	244448	28454215	1702298	28442625	0.85034	28448412	1.03832	28454215	1.10759	28442625	17588.2588141214	28448412	235426.458124663	28454215	1536938.75892704	28459207	17578	28464979	607319	28470783	1073324	28459207	0.85011	28464979	1.03824	28470783	1.10713	28459207	20677.3241109974	28464979	584950.493142241	28470783	969465.193789347	28475775	15630	28481547	1130207	28487350	2061068	28475775	0.85042	28481547	1.03812	28487350	1.10726	28475775	18379.1538298723	28481547	1088705.54463838	28487350	1861412.85696223	28492326	18629	28498114	500805	28503933	1105098	28492326	0.84999	28498114	1.03839	28503933	1.10722	28492326	21916.7284320992	28498114	482289.891081386	28503933	998083.488376294
239	28562636	15077	28568423	246137	28574242	1707674	28562636	0.85009	28568423	1.03796	28574242	1.10724	28562636	17735.7691538543	28568423	237135.342402405	28574242	1542279.90318269	28579218	17489	28584991	612305	28590794	1074109	28579218	0.85028	28584991	1.03814	28590794	1.10746	28579218	20568.5186056358	28584991	589809.659583486	28590794	969885.142578513	28595770	15659	28601558	1133309	28607361	2053655	28595770	0.85007	28601558	1.03772	28607361	1.10662	28595770	18420.8359311586	28601558	1092114.44320241	28607361	1855790.60562795	28612337	18679	28618125	502698	28623928	1098351	28612337	0.84978	28618125	1.03832	28623928	1.10705	28612337	21980.9833133282	28618125	484145.542799908	28623928	992142.179666682
240	28682647	15038	28688434	245452	28694237	1709953	28682647	0.85018	28688434	1.03835	28694237	1.10719	28682647	17688.0190077395	28688434	236386.574854336	28694237	1544407.91553392	28699214	17344	28705002	609419	28710789	1077259	28699214	0.85025	28705002	1.03826	28710789	1.10813	28699214	20398.7062628639	28705002	586961.840001541	28710789	972141.355256152	28715766	15746	28721553	1129248	28727356	2045749	28715766	0.85076	28721553	1.03881	28727356	1.10785	28715766	18508.1574121962	28721553	1087059.23123574	28727356	1846593.85295843	28732317	18891	28738105	500870	28743924	1097191	28732317	0.85041	28738105	1.03897	28743924	1.10811	28732317	22213.9908985078	28738105	482083.217032253	28743924	990146.285116099
241	28802658	15174	28808445	245179	28814249	1711102	28802658	0.85108	28808445	1.03943	28814249	1.10829	28802658	17829.1112468863	28808445	235878.317924247	28814249	1543911.79203999	28819241	17653	28825013	610696	28830816	1086746	28819241	0.85115	28825013	1.03891	28830816	1.10864	28819241	20740.1750572755	28825013	587823.776843038	28830816	980251.479289941	28835808	15603	28841580	1129017	28847383	2042252	28835808	0.85109	28841580	1.03862	28847383	1.10866	28835808	18332.9612614412	28841580	1087035.6819626	28847383	1842090.45153609	28852359	18776	28858163	499195	28863966	1095323	28852359	0.85046	28858163	1.03838	28863966	1.10876	28852359	22077.4639606801	28858163	480744.043606387	28863966	987881.056315163
242	28922669	15261	28928456	244995	28934260	1718545	28922669	0.85042	28928456	1.03849	28934260	1.10747	28922669	17945.2505820653	28928456	235914.645302314	28934260	1551775.66886688	28939236	17513	28945024	611047	28950811	1082933	28939236	0.85111	28945024	1.03967	28950811	1.10743	28939236	20576.6587162646	28945024	587731.684092068	28950811	977879.414500239	28955803	15675	28961591	1131919	28967394	2030565	28955803	0.85053	28961591	1.03884	28967394	1.10767	28955803	18429.6850199288	28961591	1089598.97578068	28967394	1833185.87666002	28972370	18958	28978174	499258	28983977	1090418	28972370	0.85017	28978174	1.03974	28983977	1.10805	28972370	22299.0695978451	28978174	480175.813184065	28983977	984087.36067867
243	29042680	15154	29048467	245060	29054271	1721853	29042680	0.85097	29048467	1.03909	29054271	1.10913	29042680	17807.9133224438	29048467	235840.976238824	29054271	1552435.69284033	29059263	17651	29065035	610722	29070838	1086622	29059263	0.8523	29065035	1.0405	29070838	1.10923	29059263	20709.8439516602	29065035	586950.504565113	29070838	979618.293771355	29075830	15689	29081617	1130533	29087405	2021418	29075830	0.85178	29081617	1.03948	29087405	1.10939	29075830	18419.0753480946	29081617	1087594.75891792	29087405	1822098.63077908	29092397	18801	29098185	500601	29103988	1086752	29092397	0.85158	29098185	1.03997	29103988	1.10979	29092397	22077.7848235045	29098185	481361.0007981	29103988	979241.117688932
244	29162691	15070	29168478	245218	29174282	1723474	29162691	0.8515	29168478	1.04	29174282	1.10784	29162691	17698.1796829125	29168478	235786.538461538	29174282	1555706.60023108	29179274	17591	29185061	609191	29190849	1089550	29179274	0.85094	29185061	1.03939	29190849	1.10901	29179274	20672.4328389781	29185061	586104.349666632	29190849	982452.818279366	29195825	15549	29201613	1131133	29207416	2014770	29195825	0.851	29201613	1.04025	29207416	1.10905	29195825	18271.4453584019	29201613	1087366.49843788	29207416	1816662.90969749	29212392	18884	29218180	498932	29223968	1080670	29212392	0.85131	29218180	1.03973	29223968	1.10789	29212392	22182.2837744183	29218180	479866.888519135	29223968	975430.773813285
245	29282702	15052	29288489	244871	29294293	1730488	29282702	0.85059	29288489	1.03913	29294293	1.1082	29282702	17695.9522213993	29288489	235650.014916324	29294293	1561530.40967334	29299269	17505	29305057	608866	29310844	1092164	29299269	0.85097	29305057	1.03928	29310844	1.10825	29299269	20570.6429133812	29305057	585853.667923947	29310844	985485.224452966	29315836	15716	29321624	1131410	29327427	2006925	29315836	0.85104	29321624	1.03919	29327427	1.10816	29315836	18466.817070878	29321624	1088742.19343912	29327427	1811042.62922322	29332403	19053	29338191	498888	29343994	1076752	29332403	0.85131	29338191	1.03891	29343994	1.10775	29332403	22380.8013532086	29338191	480203.289986621	29343994	972017.151884451
246	29402713	15235	29408500	245061	29414304	1733972	29402713	0.85052	29408500	1.03881	29414304	1.10819	29402713	17912.571132954	29408500	235905.507263118	29414304	1564688.36571346	29419264	17691	29425052	610354	29430855	1093939	29419264	0.8508	29425052	1.03892	29430855	1.1083	29419264	20793.3709449929	29425052	587488.930812767	29430855	987042.317062167	29435832	15696	29441619	1128620	29447407	2002169	29435832	0.85054	29441619	1.03891	29447407	1.10855	29435832	18454.158534578	29441619	1086350.1169495	29447407	1806115.19552569	29452399	19150	29458186	498994	29463990	1073594	29452399	0.85065	29458186	1.0385	29463990	1.10831	29452399	22512.1965555751	29458186	480494.94463168	29463990	968676.633793794
247	29522724	15091	29528511	244144	29534315	1735457	29522724	0.85023	29528511	1.03857	29534315	1.10792	29522724	17749.3148912647	29528511	235077.077134907	29534315	1566410.02960503	29539307	17460	29545079	610398	29550882	1095087	29539307	0.85071	29545079	1.03923	29550882	1.10734	29539307	20524.0328666643	29545079	587356.023209492	29550882	988934.744522911	29555858	15759	29561646	1129495	29567449	1993916	29555858	0.85068	29561646	1.03864	29567449	1.10827	29555858	18525.1798561151	29561646	1087474.96726488	29567449	1799124.76201648	29572425	18795	29578213	498340	29584016	1068083	29572425	0.85073	29578213	1.03884	29584016	1.1077	29572425	22092.7908972294	29578213	479708.135997844	29584016	964234.90114652
248	29642735	15086	29648522	245795	29654326	1741737	29642735	0.8505	29648522	1.03891	29654326	1.10827	29642735	17737.8012933569	29648522	236589.309949851	29654326	1571581.83475146	29659302	17662	29665090	611467	29670893	1099412	29659302	0.85168	29665090	1.03973	29670893	1.10955	29659302	20737.8358068758	29665090	588101.718715436	29670893	990862.962462259	29675869	15922	29681657	1131060	29687460	1987010	29675869	0.8509	29681657	1.03939	29687460	1.10877	29675869	18711.9520507698	29681657	1088195.96109256	29687460	1792084.92293262	29692436	18903	29698224	499410	29704027	1064546	29692436	0.85056	29698224	1.03881	29704027	1.10892	29692436	22224.1817155756	29698224	480752.014324082	29704027	959984.489413123
249	29762746	15214	29768533	245365	29774337	1746773	29762746	0.85086	29768533	1.0385	29774337	1.10874	29762746	17880.7324354183	29768533	236268.656716418	29774337	1575457.72678897	29779329	17404	29785101	611041	29790904	1098618	29779329	0.85085	29785101	1.03854	29790904	1.10787	29779329	20454.8392783687	29785101	588365.397577368	29790904	991648.839665304	29795865	15791	29801652	1132349	29807471	1974626	29795865	0.85104	29801652	1.03996	29807471	1.10841	29795865	18554.9445384471	29801652	1088838.99380745	29807471	1781494.21243042	29812447	18997	29818219	500400	29824023	1060706	29812447	0.85092	29818219	1.03889	29824023	1.10767	29812447	22325.2479669064	29818219	481667.93404499	29824023	957601.090577518
250	29882757	15071	29888544	245663	29894348	1745937	29882757	0.85101	29888544	1.03899	29894348	1.10796	29882757	17709.5451287294	29888544	236444.0466222	29894348	1575812.30369327	29899324	17464	29905112	609770	29910915	1101216	29899324	0.85117	29905112	1.03845	29910915	1.10724	29899324	20517.6404243571	29905112	587192.450286485	29910915	994559.445106752	29915891	16036	29921663	1129487	29927466	1967682	29915891	0.85113	29921663	1.03939	29927466	1.10814	29915891	18840.835125069	29921663	1086682.57343249	29927466	1775661.91997401	29932443	18714	29938230	497881	29944049	1056937	29932443	0.8514	29938230	1.03859	29944049	1.10786	29932443	21980.2677942213	29938230	479381.661675926	29944049	954034.805841893
251	30002768	15243	30008571	246323	30014374	1751907	30002768	0.85025	30008571	1.03922	30014374	1.10737	30002768	17927.6683328433	30008571	237026.808567964	30014374	1582043.03891202	30019351	17679	30025123	610137	30030926	1102623	30019351	0.85018	30025123	1.03853	30030926	1.10582	30019351	20794.4200051754	30025123	587500.601812177	30030926	997108.932737697	30035918	15910	30041690	1128024	30047509	1960920	30035918	0.84921	30041690	1.03787	30047509	1.10746	30035918	18735.0596436688	30041690	1086864.44352376	30047509	1770646.34388601	30052485	19084	30058257	497199	30064076	1051666	30052485	0.84987	30058257	1.03807	30064076	1.10696	30052485	22455.1990304399	30058257	478964.809694915	30064076	950048.782250488
252	30122779	15235	30128566	244659	30134370	1754701	30122779	0.84988	30128566	1.03849	30134370	1.10738	30122779	17926.0601496682	30128566	235591.098614334	30134370	1584551.82502845	30139346	17623	30145134	610994	30150937	1107037	30139346	0.84993	30145134	1.03974	30150937	1.10721	30139346	20734.6487357782	30145134	587641.141054494	30150937	999843.751411205	30155898	15838	30161685	1129994	30167473	1944763	30155898	0.85053	30161685	1.03827	30167473	1.10694	30155898	18621.3302293864	30161685	1088343.10921051	30167473	1756882.03515999	30172449	18989	30178237	499471	30184040	1050385	30172449	0.85075	30178237	1.03914	30184040	1.10785	30172449	22320.3056126947	30178237	480658.044151895	30184040	948129.25937627
253	30242790	15008	30248577	244309	30254381	1755973	30242790	0.85029	30248577	1.03812	30254381	1.10769	30242790	17650.4486704536	30248577	235337.918545062	30254381	1585256.70539591	30259357	17580	30265145	611608	30270932	1107214	30259357	0.85086	30265145	1.03867	30270932	1.10766	30259357	20661.4484168958	30265145	588837.648146187	30270932	999597.349367134	30275924	15781	30281712	1130997	30287515	1941404	30275924	0.85068	30281712	1.03893	30287515	1.10818	30275924	18551.0415197254	30281712	1088617.13493691	30287515	1751885.0728221	30292507	19186	30298295	498427	30304098	1041882	30292507	0.8506	30298295	1.03796	30304098	1.10691	30292507	22555.8429343992	30298295	480198.658907858	30304098	941252.676369353
254	30362801	15073	30368588	245333	30374392	1758426	30362801	0.85063	30368588	1.03837	30374392	1.10716	30362801	17719.8076719608	30368588	236267.419128057	30374392	1588231.14996929	30379368	17448	30385156	610399	30390959	1110413	30379368	0.85083	30385156	1.03764	30390959	1.10698	30379368	20507.034307676	30385156	588257.00628349	30390959	1003101.23037453	30395951	16077	30401754	1131283	30407557	1932797	30395951	0.8504	30401754	1.03802	30407557	1.10748	30395951	18905.2210724365	30401754	1089847.01643514	30407557	1745220.68118612	30412534	18932	30418321	497567	30424125	1038362	30412534	0.85044	30418321	1.03861	30424125	1.1073	30412534	22261.4176191148	30418321	479070.103311156	30424125	937742.255937867
255	30482812	15287	30488599	245246	30494403	1766934	30482812	0.85051	30488599	1.03863	30494403	1.1082	30482812	17973.9215294353	30488599	236124.510172054	30494403	1594417.97509475	30499379	17615	30505167	609758	30510954	1111919	30499379	0.85082	30505167	1.03838	30510954	1.10699	30499379	20703.556568957	30505167	587220.478052351	30510954	1004452.6147481	30515946	16008	30521734	1127557	30527537	1920936	30515946	0.85054	30521734	1.03903	30527537	1.10744	30515946	18820.9843158464	30521734	1085201.58224498	30527537	1734573.43061475	30532514	19179	30538301	498169	30544104	1034834	30532514	0.85019	30538301	1.03851	30544104	1.10721	30532514	22558.4869264517	30538301	479695.91048714	30544104	934632.093279504
256	30602823	15158	30608610	244971	30614429	1768360	30602823	0.85116	30608610	1.03904	30614429	1.10753	30602823	17808.6376239485	30608610	235766.669233138	30614429	1596670.06762796	30619390	17590	30625178	609214	30630981	1115063	30619390	0.8508	30625178	1.03905	30630981	1.10732	30619390	20674.6591443347	30625178	586318.271498003	30630981	1006992.55860998	30635957	15975	30641745	1127378	30647564	1916853	30635957	0.85074	30641745	1.03948	30647564	1.10728	30635957	18777.7699414627	30641745	1084559.58748605	30647564	1731136.65920093	30652540	19176	30658312	498145	30664115	1028166	30652540	0.85024	30658312	1.03816	30664115	1.10667	30652540	22553.6319156944	30658312	479834.514910996	30664115	929062.864268481
257	30722834	15104	30728637	244630	30734440	1769831	30722834	0.85025	30728637	1.03752	30734440	1.10661	30722834	17764.1870038224	30728637	235783.406584933	30734440	1599326.77275644	30739417	17502	30745189	609084	30750992	1117357	30739417	0.85043	30745189	1.03787	30750992	1.10707	30739417	20580.1770868855	30745189	586859.625964716	30750992	1009292.09535079	30755968	15901	30761756	1127429	30767559	1906544	30755968	0.85038	30761756	1.03763	30767559	1.10677	30755968	18698.6994049719	30761756	1086542.40914391	30767559	1722619.87585497	30772536	19288	30778323	496270	30784126	1026746	30772536	0.85011	30778323	1.03779	30784126	1.10687	30772536	22688.8285045465	30778323	478198.864895595	30784126	927612.09536802
258	30842845	15017	30848632	244428	30854451	1772752	30842845	0.85003	30848632	1.03789	30854451	1.10651	30842845	17666.4353022835	30848632	235504.725934348	30854451	1602111.14224002	30859428	17706	30865200	611022	30871003	1118233	30859428	0.8504	30865200	1.03783	30871003	1.10619	30859428	20820.7902163688	30865200	588749.602536061	30871003	1010886.91816053	30875979	15896	30881767	1125976	30887570	1895027	30875979	0.85028	30881767	1.03827	30887570	1.10652	30875979	18695.0181116809	30881767	1084473.21024396	30887570	1712600.76636663	30892547	18870	30898334	499543	30904137	1023430	30892547	0.85026	30898334	1.03791	30904137	1.10712	30892547	22193.2114882507	30898334	481297.029607577	30904137	924407.471638124
259	30962856	15253	30968643	245352	30974447	1774123	30962856	0.85038	30968643	1.03742	30974447	1.1072	30962856	17936.6871281074	30968643	236502.091727555	30974447	1602350.97543353	30979423	17717	30985211	610725	30990998	1122098	30979423	0.8502	30985211	1.03827	30990998	1.10702	30979423	20838.6262055987	30985211	588214.048368921	30990998	1013620.35012918	30995975	15992	31001747	1131061	31007550	1892265	30995975	0.84998	31001747	1.03847	31007550	1.10751	30995975	18814.5603425963	31001747	1089160.97720685	31007550	1708575.99479914	31012542	19134	31018314	498626	31024148	1015151	31012542	0.85033	31018314	1.0385	31024148	1.10689	31012542	22501.8522220785	31018314	480140.587385652	31024148	917120.039028268
260	31082867	15127	31088655	246355	31094458	1780790	31082867	0.85082	31088655	1.03916	31094458	1.10678	31082867	17779.318774829	31088655	237071.288348281	31094458	1608982.81501292	31099434	17637	31105206	611413	31111009	1124736	31099434	0.84997	31105206	1.03879	31111009	1.10688	31099434	20750.1441227337	31105206	588581.907796571	31111009	1016131.83000867	31116001	16009	31121773	1132134	31127592	1884655	31116001	0.85067	31121773	1.04032	31127592	1.10811	31116001	18819.2836234968	31121773	1088255.53675792	31127592	1700783.3157358	31132569	18777	31138356	498435	31144159	1014163	31132569	0.8506	31138356	1.03902	31144159	1.10762	31132569	22075.0058782036	31138356	479716.463590691	31144159	915623.589317636
261	31202878	15142	31208666	246033	31214469	1787355	31202878	0.85049	31208666	1.03789	31214469	1.10763	31202878	17803.8542487272	31208666	237051.132586305	31214469	1613675.14422686	31219445	17551	31225233	609337	31231036	1125671	31219445	0.85038	31225233	1.03797	31231036	1.10716	31219445	20639.0084432842	31225233	587046.83179668	31231036	1016719.35402291	31236012	16211	31241800	1128078	31247603	1874094	31236012	0.85108	31241800	1.03878	31247603	1.10747	31236012	19047.5630963012	31241800	1085964.30428002	31247603	1692230.03783398	31252580	19127	31258367	497561	31264170	1012809	31252580	0.85092	31258367	1.03861	31264170	1.10756	31252580	22478.0237860198	31258367	479064.326359269	31264170	914450.684387302
262	31322889	15105	31328677	245402	31334480	1784495	31322889	0.85035	31328677	1.03819	31334480	1.10632	31322889	17763.2739460222	31328677	236374.844681609	31334480	1613000.75927399	31339456	17443	31345244	609801	31351047	1130616	31339456	0.85057	31345244	1.03842	31351047	1.10672	31339456	20507.4244330273	31345244	587239.267348472	31351047	1021591.73051901	31356008	15895	31361795	1126574	31367599	1868076	31356008	0.85039	31361795	1.03794	31367599	1.10695	31356008	18691.4239349005	31361795	1085394.14609708	31367599	1687588.41862776	31372575	18800	31378363	498965	31384181	1006408	31372575	0.85056	31378363	1.03904	31384181	1.10659	31372575	22103.0850263356	31378363	480217.315983985	31384181	909467.824578209
263	31442900	15164	31448688	244497	31454506	1791211	31442900	0.84995	31448688	1.0378	31454506	1.10724	31442900	17841.0494734984	31448688	235591.636153401	31454506	1617726.05758462	31459483	17567	31465255	608712	31471042	1132798	31459483	0.85046	31465255	1.03906	31471042	1.10771	31459483	20655.8803471063	31465255	585829.49974015	31471042	1022648.52714158	31476019	15974	31481791	1129307	31487594	1861218	31476019	0.85115	31481791	1.03869	31487594	1.10776	31476019	18767.5497855842	31481791	1087241.62165805	31487594	1680163.57333719	31492570	19025	31498342	496130	31504146	1002982	31492570	0.85155	31498342	1.03872	31504146	1.10737	31492570	22341.6123539428	31498342	477635.936537277	31504146	905733.404372522
264	31562911	15134	31568699	245012	31574517	1793606	31562911	0.85094	31568699	1.03892	31574517	1.10725	31562911	17785.0377229887	31568699	235833.365417934	31574517	1619874.46376157	31579494	17637	31585297	609354	31591100	1132814	31579494	0.85059	31585297	1.03913	31591100	1.10691	31579494	20735.0192219518	31585297	586407.860421699	31591100	1023402.08327687	31596077	15958	31601864	1126693	31607667	1851837	31596077	0.85042	31601864	1.03914	31607667	1.10725	31596077	18764.8456057007	31601864	1084255.24953327	31607667	1672465.11627907	31612628	19200	31618416	497020	31624219	997192	31612628	0.85051	31618416	1.03855	31624219	1.10691	31612628	22574.6904798298	31618416	478571.084685379	31624219	900879.023588187
265	31682922	15134	31688710	243990	31694513	1796888	31682922	0.85018	31688710	1.03786	31694513	1.10693	31682922	17800.9362723188	31688710	235089.511109398	31694513	1623307.70690107	31699489	17798	31705277	609699	31711080	1137247	31699489	0.85059	31705277	1.03805	31711080	1.10685	31699489	20924.2996038044	31705277	587350.320312124	31711080	1027462.61914442	31716041	15948	31721828	1126574	31727616	1843082	31716041	0.8508	31721828	1.03822	31727616	1.10685	31716041	18744.7108603667	31721828	1085101.42359038	31727616	1665159.68740118	31732592	19219	31738396	496714	31744199	994311	31732592	0.85033	31738396	1.03803	31744199	1.10705	31732592	22601.8134136159	31738396	478516.035182028	31744199	898162.684612258
266	31802933	14983	31808721	244014	31814524	1802060	31802933	0.84998	31808721	1.03805	31814524	1.10674	31802933	17627.4735876138	31808721	235069.601656953	31814524	1628259.57316081	31819516	17582	31825288	608362	31831091	1138763	31819516	0.85026	31825288	1.03806	31831091	1.10678	31819516	20678.3807306001	31825288	586056.682658035	31831091	1028897.34183849	31836052	15983	31841839	1129124	31847643	1831760	31836052	0.85031	31841839	1.03801	31847643	1.10651	31836052	18796.674154132	31841839	1087777.57439716	31847643	1655439.17361795	31852619	19393	31858422	498119	31864225	991359	31852619	0.85187	31858422	1.03967	31864225	1.10773	31852619	22765.2106542078	31858422	479112.603037502	31864225	894946.421962031
267	31922944	15046	31928732	245098	31934550	1806471	31922944	0.85087	31928732	1.03819	31934550	1.10719	31922944	17683.0773208598	31928732	236082.027374565	31934550	1631581.75200282	31939511	17572	31945299	609679	31951086	1141305	31939511	0.85094	31945299	1.03863	31951086	1.10663	31939511	20650.1045902179	31945299	587003.07135361	31951086	1031333.86949568	31956063	16152	31961850	1126223	31967654	1825012	31956063	0.8512	31961850	1.03872	31967654	1.10724	31956063	18975.5639097744	31961850	1084241.1814541	31967654	1648253.31454788	31972630	19358	31978418	497249	31984221	987273	31972630	0.85212	31978418	1.03924	31984221	1.10744	31972630	22717.4576350749	31978418	478473.692313614	31984221	891491.186881456
268	32042955	15185	32048743	245374	32054546	1808857	32042955	0.85108	32048743	1.0403	32054546	1.10758	32042955	17842.036001316	32048743	235868.499471306	32054546	1633161.48720634	32059538	18018	32065310	610303	32071113	1144020	32059538	0.85106	32065310	1.03931	32071113	1.10788	32059538	21171.2452706037	32065310	587219.405182284	32071113	1032620.86146514	32076105	16112	32081893	1129310	32087696	1819045	32076105	0.85162	32081893	1.04007	32087696	1.10715	32076105	18919.2362790916	32081893	1085801.91717865	32087696	1642997.78711105	32092688	19165	32098475	496286	32104279	982863	32092688	0.85108	32098475	1.03944	32104279	1.1076	32092688	22518.4471495042	32098475	477455.168167475	32104279	887380.82340195
269	32162966	15059	32168754	245861	32174572	1813758	32162966	0.85131	32168754	1.0392	32174572	1.1078	32162966	17689.2083964713	32168754	236586.797536567	32174572	1637261.2384907	32179549	17633	32185336	609543	32191155	1148202	32179549	0.85167	32185336	1.03992	32191155	1.10783	32179549	20704.0285556612	32185336	586144.126471267	32191155	1036442.41444987	32196132	16313	32201919	1129593	32207722	1813160	32196132	0.85126	32201919	1.03963	32207722	1.10698	32196132	19163.3578460165	32201919	1086533.67063282	32207722	1637933.83800972	32212699	19116	32218471	498163	32224274	977576	32212699	0.85117	32218471	1.03915	32224274	1.10781	32212699	22458.4983023368	32218471	479394.697589376	32224274	882440.129625116
270	32282977	15333	32288765	245594	32294568	1816948	32282977	0.85108	32288765	1.03998	32294568	1.10816	32282977	18015.9326972788	32288765	236152.618319583	32294568	1639607.99884493	32299544	17582	32305332	609833	32311135	1148141	32299544	0.85121	32305332	1.0395	32311135	1.10725	32299544	20655.3024518039	32305332	586659.932659933	32311135	1036930.23255814	32316127	16266	32321899	1127283	32327718	1804559	32316127	0.85114	32321899	1.03932	32327718	1.10806	32316127	19110.8395798576	32321899	1084635.14605704	32327718	1628575.16740971	32332694	19401	32338466	495565	32344270	973779	32332694	0.85079	32338466	1.03905	32344270	1.10726	32332694	22803.5120299957	32338466	476940.474471873	32344270	879449.271173889
271	32402988	14956	32408776	244440	32414579	1816186	32402988	0.85036	32408776	1.0387	32414579	1.1076	32402988	17587.8451479373	32408776	235332.627322615	32414579	1639749.00686168	32419571	17772	32425343	610102	32431146	1153875	32419571	0.85139	32425343	1.03993	32431146	1.1073	32419571	20874.1000011745	32425343	586676.026270999	32431146	1042061.77187754	32436107	16254	32441894	1126651	32447698	1796309	32436107	0.85103	32441894	1.03922	32447698	1.10666	32436107	19099.2091935654	32441894	1084131.36775659	32447698	1623180.56132868	32452690	19235	32458477	496882	32464281	970228	32452690	0.85099	32458477	1.03933	32464281	1.10676	32452690	22603.0858176947	32458477	478079.147142871	32464281	876638.114857783
272	32522999	15059	32528787	245251	32534605	1820589	32522999	0.85137	32528787	1.03825	32534605	1.10733	32522999	17687.9617557584	32528787	236215.7476523	32534605	1644125.05757091	32539566	17484	32545354	609777	32551157	1152998	32539566	0.85156	32545354	1.03919	32551157	1.10749	32539566	20531.7300014092	32545354	586781.050625968	32551157	1041091.11594687	32556118	16031	32561905	1127786	32567693	1789607	32556118	0.85092	32561905	1.03851	32567693	1.10761	32556118	18839.6088939031	32561905	1085965.46975956	32567693	1615737.4888273	32572685	19040	32578473	495357	32584276	965758	32572685	0.85129	32578473	1.03962	32584276	1.10778	32572685	22366.0562205594	32578473	476478.905754026	32584276	871795.843940133
273	32643010	15225	32648798	245575	32654616	1823308	32643010	0.85106	32648798	1.03961	32654616	1.10733	32643010	17889.4555025498	32648798	236218.389588403	32654616	1646580.5134874	32659608	17760	32665380	610357	32671184	1156689	32659608	0.85142	32665380	1.03866	32671184	1.10707	32659608	20859.2703953396	32665380	587638.880865731	32671184	1044820.11074277	32676144	16305	32681932	1126280	32687735	1777182	32676144	0.85079	32681932	1.03917	32687735	1.10705	32676144	19164.5411911282	32681932	1083826.51539209	32687735	1605331.28584978	32692712	19187	32698499	496194	32704303	961301	32692712	0.85031	32698499	1.03966	32704303	1.10656	32692712	22564.7116933824	32698499	477265.644537637	32704303	868729.214864083
