WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
26	3000275	98271	3006062	18842	3011866	2974448	3000275	0.83516	3006062	1.00368	3011866	1.04947	3000275	117667.273336846	3006062	18772.9156703332	3011866	2834238.23453743	3016858	107317	3022645	20247	3028448	3140721	3016858	0.83499	3022645	1.00383	3028448	1.04948	3016858	128524.892513683	3022645	20169.7498580437	3028448	2992644.92891718	3033440	101767	3039228	20913	3045031	3111229	3033440	0.83521	3039228	1.00417	3045031	1.05006	3033440	121846.002801691	3039228	20826.1549339255	3045031	2962905.929185
27	3120286	98686	3126073	18421	3131877	2962820	3120286	0.83499	3126073	1.00386	3131877	1.05027	3120286	118188.241775351	3126073	18350.1683501684	3131877	2821007.93129386	3136853	106866	3142641	19557	3148444	3131480	3136853	0.83469	3142641	1.00461	3148444	1.05026	3136853	128030.765913093	3142641	19467.2559500702	3148444	2981623.59796622	3153436	100929	3159208	19940	3165027	3089521	3153436	0.83566	3159208	1.00375	3165027	1.04902	3153436	120777.588971591	3159208	19865.504358655	3165027	2945149.75882252
28	3240297	97818	3246084	18018	3251888	2960113	3240297	0.8355	3246084	1.00435	3251888	1.05049	3240297	117077.199281867	3246084	17939.9611689152	3251888	2817840.24598045	3256864	107030	3262667	18812	3268455	3128344	3256864	0.83524	3262667	1.00355	3268455	1.05083	3256864	128142.80925243	3262667	18745.4536395795	3268455	2977021.97310697	3273447	101413	3279234	19313	3285053	3084412	3273447	0.8359	3279234	1.00382	3285053	1.04958	3273447	121321.928460342	3279234	19239.5050905541	3285053	2938710.72238419
29	3360308	98199	3366095	17404	3371899	2950216	3360308	0.83473	3366095	1.00362	3371899	1.04979	3360308	117641.632623723	3366095	17341.2247663458	3371899	2810291.58212595	3376875	106653	3382663	18656	3388466	3120387	3376875	0.83538	3382663	1.00342	3388466	1.04967	3376875	127670.042375925	3382663	18592.4139443105	3388466	2972731.42987796	3393442	101078	3399230	18790	3405049	3086641	3393442	0.83528	3399230	1.00324	3405049	1.05033	3393442	121010.918494397	3399230	18729.3170128783	3405049	2938734.49296888
30	3480319	98151	3486106	17174	3491910	2954299	3480319	0.83527	3486106	1.00343	3491910	1.0497	3480319	117508.111149688	3486106	17115.2945397287	3491910	2814422.2158712	3496902	106607	3502674	18191	3508477	3121384	3496902	0.83584	3502674	1.00369	3508477	1.04958	3496902	127544.745405819	3502674	18124.1219898574	3508477	2973936.24116313	3513453	101536	3519241	18221	3525044	3080524	3513453	0.83578	3519241	1.00433	3525044	1.04996	3513453	121486.515590227	3519241	18142.4432208537	3525044	2933944.15025334
31	3600330	92676	3606117	17916	3611921	2854841	3600330	0.8348	3606117	1.00353	3611921	1.05013	3600330	111015.81217058	3606117	17852.9789841858	3611921	2718559.60690581	3616897	100275	3622685	19359	3628488	2989644	3616897	0.83548	3622685	1.00353	3628488	1.04951	3616897	120020.826351319	3622685	19290.9031120146	3628488	2848609.35103048	3633464	94777	3639236	18976	3645040	2975432	3633464	0.83541	3639236	1.00435	3645040	1.04942	3633464	113449.683388995	3639236	18893.811918156	3645040	2835310.93365859
32	3720341	92463	3726113	19897	3731900	2823897	3720341	0.83516	3726113	1.00396	3731900	1.04993	3720341	110712.917285311	3726113	19818.5186660823	3731900	2689605.02128713	3736877	99105	3742649	20891	3748452	2962312	3736877	0.83522	3742649	1.00307	3748452	1.04912	3736877	118657.359737554	3742649	20827.0609229665	3748452	2823615.98291902	3753428	93452	3759232	20692	3765035	2941919	3753428	0.83491	3759232	1.00221	3765035	1.04928	3753428	111930.627253237	3759232	20646.3715189431	3765035	2803750.19060689
33	3840352	91578	3846124	21899	3851927	2745841	3840352	0.83525	3846124	1.00307	3851927	1.04915	3840352	109641.424723137	3846124	21831.975834189	3851927	2617205.35671734	3856903	96561	3862691	23868	3868479	2882754	3856903	0.83483	3862691	1.00345	3868479	1.04934	3856903	115665.464825174	3862691	23785.9385121331	3868479	2747206.81571273	3873471	87446	3879243	23227	3885046	2876334	3873471	0.83504	3879243	1.00326	3885046	1.04936	3873471	104720.731940985	3879243	23151.526025158	3885046	2741036.44125943
34	3960363	89428	3966135	24833	3971938	2616977	3960363	0.83498	3966135	1.00282	3971938	1.049	3960363	107101.966514168	3966135	24763.1678666161	3971938	2494734.98570067	3976899	91198	3982702	27541	3988490	2743566	3976899	0.83476	3982702	1.00341	3988490	1.0495	3976899	109250.563036082	3982702	27447.4043511625	3988490	2614164.84040019	3993466	72274	3999254	26845	4005041	2747829	3993466	0.83491	3999254	1.00351	4005041	1.05009	3993466	86565.0189840821	3999254	26751.1036262718	4005041	2616755.70665372
35	4080374	87051	4086161	28520	4091965	2442976	4080374	0.83507	4086161	1.00295	4091965	1.04893	4080374	104243.955596537	4086161	28436.1134652774	4091965	2329017.18894493	4096925	81876	4102729	32595	4108532	2555577	4096925	0.83437	4102729	1.00349	4108532	1.04933	4096925	98129.1273655573	4102729	32481.6390796122	4108532	2435436.89783004	4113493	56497	4119280	30316	4125084	2573744	4113493	0.83556	4119280	1.00305	4125084	1.04989	4113493	67615.7307673895	4119280	30223.817357061	4125084	2451441.57959405
36	4200385	84707	4206172	850625	4211976	2239116	4200385	0.83573	4206172	1.00341	4211976	1.04995	4200385	101356.89756261	4206172	847734.226288357	4211976	2132592.98061812	4216952	77171	4222740	900975	4228543	2368966	4216952	0.8361	4222740	1.00307	4228543	1.04983	4216952	92298.7680899414	4222740	898217.472359855	4228543	2256523.43712792	4233519	49094	4239291	903488	4245095	2388851	4233519	0.83521	4239291	1.00342	4245095	1.04962	4233519	58780.426479568	4239291	900408.602579179	4245095	2275919.85671005
37	4320396	81821	4326183	861045	4331987	2028733	4320396	0.83442	4326183	1.00317	4331987	1.04994	4320396	98057.3332374584	4326183	858324.112563175	4331987	1932237.08021411	4336963	70121	4342751	908790	4348554	2154984	4336963	0.83511	4342751	1.00354	4348554	1.0511	4336963	83966.1840955084	4342751	905584.23181936	4348554	2050217.86699648	4353530	42100	4359302	906668	4365106	2184135	4353530	0.83577	4359302	1.00396	4365106	1.0499	4353530	50372.7101953887	4359302	903091.756643691	4365106	2080326.69778074
38	4440407	80387	4446195	857049	4451998	1838294	4440407	0.83517	4446195	1.00289	4451998	1.04976	4440407	96252.2600189183	4446195	854579.265921487	4451998	1751156.45480872	4456974	65980	4462762	908520	4468565	1964615	4456974	0.83519	4462762	1.00306	4468565	1.0495	4456974	78999.9880266766	4462762	905748.409865811	4468565	1871953.31110052	4473541	37546	4479329	904787	4485148	2014559	4473541	0.8349	4479329	1.00329	4485148	1.04961	4473541	44970.6551682836	4479329	901820.012159994	4485148	1919340.51695392
