WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
26	3000275	82651	3006062	16527	3011881	2365132	3000275	0.8387	3006062	1.00317	3011881	1.05552	3000275	98546.5601526172	3006062	16474.7749633661	3011881	2240726.84553585	3016858	80465	3022645	16332	3028433	2373661	3016858	0.83791	3022645	1.00345	3028433	1.05556	3016858	96030.5999451015	3022645	16275.8483232847	3028433	2248722.00538103	3033425	77446	3039197	17849	3045000	2354251	3033425	0.838	3039197	1.00369	3045000	1.05538	3033425	92417.661097852	3039197	17783.3793302713	3045000	2230714.05560083
27	3120286	81600	3126058	15921	3131877	2355342	3120286	0.83774	3126058	1.00327	3131877	1.05455	3120286	97404.9227684007	3126058	15869.1080167851	3131877	2233504.33834337	3136853	80557	3142641	15671	3148428	2360023	3136853	0.83739	3142641	1.0037	3148428	1.05467	3136853	96200.0979233093	3142641	15613.231045133	3148428	2237688.56609176	3153405	77567	3159192	17417	3164995	2343978	3153405	0.83775	3159192	1.00325	3164995	1.05513	3153405	92589.674723963	3159192	17360.5781211064	3164995	2221506.3546672
28	3240297	81809	3246069	15302	3251888	2348805	3240297	0.83737	3246069	1.00399	3251888	1.05503	3240297	97697.5530530112	3246069	15241.1876612317	3251888	2226292.14335137	3256864	80971	3262636	15275	3268439	2354744	3256864	0.83734	3262636	1.00458	3268439	1.05493	3256864	96700.2651252777	3262636	15205.359453702	3268439	2232132.93773047	3273431	77407	3279219	17142	3285006	2343188	3273431	0.83761	3279219	1.00397	3285006	1.05562	3273431	92414.1306813433	3279219	17074.215365001	3285006	2219726.79562721
29	3360308	82104	3366080	14969	3371883	2350242	3360308	0.83753	3366080	1.00447	3371883	1.05541	3360308	98031.1153033324	3366080	14902.3863330911	3371883	2226852.12381918	3376859	81220	3382647	15070	3388435	2358252	3376859	0.83757	3382647	1.0042	3388435	1.05525	3376859	96970.9994388529	3382647	15006.9707229636	3388435	2234780.38379531	3393427	77751	3399214	16629	3405017	2337808	3393427	0.8376	3399214	1.00419	3405017	1.0556	3393427	92825.9312320917	3399214	16559.6152122606	3405017	2214672.2243274
30	3480319	82161	3486106	14579	3491910	2346179	3480319	0.83748	3486106	1.00476	3491910	1.05578	3480319	98105.0293738358	3486106	14509.9327202516	3491910	2222223.37987081	3496886	81033	3502674	14816	3508461	2354822	3496886	0.83745	3502674	1.00297	3508461	1.05577	3496886	96761.5977073258	3502674	14772.1267834531	3508461	2230430.87036002	3513453	77406	3519241	16487	3525044	2336120	3513453	0.83796	3519241	1.00461	3525044	1.05626	3513453	92374.3376772161	3519241	16411.3437055176	3525044	2211690.30352375
31	3600330	78267	3606117	16479	3611905	2257114	3600330	0.83796	3606117	1.00431	3611905	1.05548	3600330	93401.833023056	3606117	16408.2803118559	3611905	2138471.5958616	3616881	76310	3622653	15855	3628457	2268445	3616881	0.83838	3622653	1.00451	3628457	1.05667	3616881	91020.7781674181	3622653	15783.8149943754	3628457	2146786.60319684	3633433	73732	3639221	17538	3645040	2256408	3633433	0.83822	3639221	1.00518	3645040	1.05626	3633433	87962.5873875594	3639221	17447.6213215544	3645040	2136224.03574877
32	3720341	76587	3726128	17284	3731916	2236309	3720341	0.83784	3726128	1.00436	3731916	1.05552	3720341	91410.054425666	3726128	17208.9688956151	3731916	2118679.89237532	3736892	76149	3742680	16920	3748483	2251047	3736892	0.83778	3742680	1.00551	3748483	1.05708	3736892	90893.7907326506	3742680	16827.2816779545	3748483	2129495.40242933	3753460	72418	3759247	19178	3765051	2236463	3753460	0.83792	3759247	1.0044	3765051	1.05608	3753460	86425.9117815543	3759247	19093.9864595779	3765051	2117702.25740474
33	3840352	75363	3846139	19422	3851943	2180571	3840352	0.83798	3846139	1.00455	3851943	1.0569	3840352	89934.127306141	3846139	19334.0301627594	3851943	2063176.27022424	3856919	73949	3862707	19218	3868510	2195124	3856919	0.83873	3862707	1.00445	3868510	1.05612	3856919	88167.8251642364	3862707	19132.858778436	3868510	2078479.71821384	3873486	66041	3879258	21567	3885062	2185516	3873486	0.83835	3879258	1.00397	3885062	1.05635	3873486	78774.9746525914	3879258	21481.7175812026	3885062	2068931.69877408
34	3960363	73912	3966150	21757	3971954	2081087	3960363	0.83751	3966150	1.00392	3971954	1.0559	3960363	88252.0805721723	3966150	21672.0455813212	3971954	1970912.96524292	3976930	70442	3982718	21548	3988521	2096459	3976930	0.83762	3982718	1.00383	3988521	1.05654	3976930	84097.8009121081	3982718	21465.7860394688	3988521	1984268.46120355	3993482	53555	3999269	24853	4005073	2093016	3993482	0.83806	3999269	1.00449	4005073	1.05669	3993482	63903.5391260769	3999269	24741.9088293562	4005073	1980728.50126338
35	4080374	71908	4086161	24164	4091980	1947931	4080374	0.83831	4086161	1.00446	4091980	1.05642	4080374	85777.3377390226	4086161	24056.7070863947	4091980	1843898.26016168	4096941	64861	4102713	25069	4108516	1964647	4096941	0.8381	4102713	1.00444	4108516	1.0563	4096941	77390.5261901921	4102713	24958.1856556887	4108516	1859932.7842469	4113493	42447	4119280	28074	4125084	1963988	4113493	0.83783	4119280	1.00403	4125084	1.05615	4113493	50663.0223314992	4119280	27961.3158969354	4125084	1859572.9773233
